"country","city","date","orgname","orgurl","eventname","eventurl","cityengorlatlon"
"США","Лос-Анджелес","17/11 12:00","NavalnyLA","https://www.facebook.com/groups/1200205483930832/?ref=share&mibextid=NSMWBT","1000 дней с начала полномасштабного вторжения","https://facebook.com/events/s/1000-%D0%B4%D0%BD%D0%B5%D0%B8-%D1%81-%D0%BF%D0%BE%D0%BB%D0%BD%D0%BE%D0%BC%D0%B0%D1%88%D1%82%D0%B0%D0%B1%D0%BD%D0%BE%D0%B3%D0%BE-%D0%B2%D1%82/1086647169481439/?mibextid=Gg3lNB",""
"США","Лос-Анджелес","17/11 12:00","Russians For Democracy","https://t.me/stopwar_la","Марш мира в Лос-Анджелесе","https://www.facebook.com/events/1647188766205475/",""
"США","Майами","17/11 12:00","Hope Harbor Society","https://www.facebook.com/share/1BaY4Spuns/?mibextid=LQQJ4d","Нет Путину! Нет войне! Свободу политзаключенным!","https://www.facebook.com/share/p/12B68h98NVH/?mibextid=WC7FNe",""
"США","Нью-Йорк","17/11 15:00","For Freedom in Russia RADR/NY","https://www.facebook.com/share/g/1AqfmJLUk3/?mibextid=K35XfP","Вместе против путина и войны в Украине. Свободу политзаключённым","https://www.facebook.com/share/1ArPF4PsEe/?mibextid=K35XfP",""
"США","Портленд","17/11 13:00","Ассоциация эмигрантов","https://www.facebook.com/share/12AgoakYEuJ/?mibextid=K35XfP","Глобальная антивоенная акция 17 ноября","https://www.facebook.com/share/12AgoakYEuJ/?mibextid=K35XfP",""
"США","Сакраменто","17/11 13:00","RADR The Voices of Russian Opposition in Sacramento","","Victory for Ukraine! Freedom for Russia!","https://facebook.com/events/s/victory-for-ukraine-freedom-fo/527359573533151/?mibextid=RQdjqZ",""
"США","Сан-Диего","17/11 02:00","RADR San Diego","","Victory for Ukraine! Freedom for Russia!","https://facebook.com/events/s/victory-for-ukraine-freedom-fo/556223410441199/?mibextid=RQdjqZ",""
"США","Сан Франциско","16/11 15:00","Группа активистов","","Нет Путину! Нет войне! Свободу политзаключенным!","https://facebook.com/events/s/no-putin-no-war-free-political/1103768128024464/",""
"США","Сан Хосе","17/11 13:00","Группа активистов","","Нет Путину! Нет войне! Свободу политическим заключенным!","https://facebook.com/events/s/no-to-putin-no-to-war-freedom-/483622770695012/?mibextid=RQdjqZ",""
"США","Сент-Пол","17/11 15:00","Russians Against War-Minnesota","https://www.facebook.com/groups/rumin/","Writing Letters to Political prisoners in Russia","https://www.instagram.com/p/DCLYCYVOO73/?igsh=MTBjYzJiOHQybWJkaA==",""
"США","Сиэтл","17/11 12:00","Russian Action Network for Democratic Organizing and More","ran-dom.com","1000 дней войны","https://facebook.com/events/s/1000-%D0%B4%D0%BD%D0%B5%D0%B8-%D0%B2%D0%BE%D0%B8%D0%BD%D1%8B/1145815960450206/",""
"США","Таллахасси","17/11 14:00","Russian America for Democracy in Russia","https://www.democracy4russia.org/","Rally against war in Ukraine and for support political prisoners","https://www.facebook.com/share/14XYMuq6Q2/?mibextid=9l3rBW",""
"США","Филадельфия","17/11 14:00","Группа активистов","","Нет Путину! Нет войне! Свободу политическим заключённым!","https://www.facebook.com/share/1XaSWXkgUK/",""
"США","Чикаго","17/11 14:00","Russian America for Democracy in Russia-Chicago","https://www.instagram.com/chicago_radr?igsh=a29yNGk3bjgxNzZh","March of Solidarity","https://facebook.com/events/s/victory-for-ukraine-democracy-/1091929152464468/",""
"США","Чикаго","17/11 14:00","Voice of Free Russia - Chicago","voiceoffreerussiachicago.org","Together Against Putin and His War","https://www.facebook.com/share/14TiY1ATV7",""
"США","Шарлотт","17/11 12:00","Группа активистов","","Антивоенный марш","https://www.facebook.com/share/19VFjaJnEo/",""
"ФИНЛЯНДИЯ","Тампере","24/11 12:00","Антивоенные движения «Тампере против войны» и «Лоймаа против войны»","https://www.facebook.com/TampereSotaaVastaan/ https://www.facebook.com/groups/loimaasotaavastaan/","Антивоенный пикет «1000 дней войны»","https://www.facebook.com/events/1223073732323231/",""
"ФИНЛЯНДИЯ","Хельсинки","17/11 13:00","Демократическое сообщество русскоязычных в Финляндии","https://www.facebook.com/VenajanDemokratianPuolesta/","Победу Украине! Свободу России!","https://www.facebook.com/share/1EQbbAf8pg/?mibextid=9l3rBW",""
"ФРАНЦИЯ","Антиб","17/11 14:00","Russie-Libertés-villes","","Банду путина под суд!","https://www.facebook.com/share/p/mb1gsNubgNai9Ffo/",""
"ФРАНЦИЯ","Лион","17/11 14:00","Russie-Libertés Lyon","https://www.facebook.com/share/pySqbvEsLZoPKC47/?mibextid=9l3rBW","Антивоенная акция","",""
"ФРАНЦИЯ","Париж","17/11 14:00","Команда Навального во Франции","https://t.me/TeamNavalny_France","Митинг против войны и Путина","https://www.facebook.com/share/14qWx3Pa4X/?mibextid=9l3rBW","Paris"
"ФРАНЦИЯ","Страсбург","17/11 14:00","Группа активистов","","Антивоенная акция 17 ноября в Страсбурге","https://www.facebook.com/events/836707285320328",""
"ЧЕРНОГОРИЯ","Будва","17/11 14:00","Группа активистов","","Акция солидарности свободных россиян","",""
"ЧЕРНОГОРИЯ","Подгорица","17/11 14:00","Группа активистов","","Акция солидарности свободных россиян","https://www.facebook.com/events/566594195780941/",""
"ЧЕРНОГОРИЯ","Херцег-нови","17/11 14:00","Антивоенное сообщество в Херцег-нови","","Акция солидарности свободных россиян","https://www.facebook.com/share/184HWrpVuW/?mibextid=9l3rBW",""
"ЧЕХИЯ","Прага","17/11 14:00","Rusové v Česku za demokracii","https://www.facebook.com/share/g/19cPDZnPQW/?mibextid=K35XfP","За вашу и нашу свободу","https://www.facebook.com/share/p/14ws5cFNn5/?mibextid=K35XfP",""
"ШВЕЙЦАРИЯ","Цюрих","16/11 14:30","Россия Будущего - Швейцария","https://www.futurerussia.ch/","Вместе против Путина! Вместе Против Войны!","https://www.facebook.com/events/869007138637059",""
"ШВЕЙЦАРИЯ","Женева","17/11 14:00","Россия Будущего - Швейцария","https://www.futurerussia.ch/","Вместе против Путина! Вместе против войны!","https://www.facebook.com/events/1087257746381985",""
"ШВЕЦИЯ","Стокгольм","17/11 14:00","Антивоенный комитет в Швеции «Russians Against War»","https://t.me/russiagainstwar","Support Ukraine! Save peace in Europe!","https://www.facebook.com/events/467455042524539/",""
"ЮЖНАЯ КОРЕЯ","Ансан","17/11 14:00","Группа активистов «Точка опоры»","https://www.instagram.com/tochka_opory_kr","Антивоенный и антипутинский митинг","https://www.instagram.com/p/DCQf3OevUmd/",""
"ЮЖНАЯ КОРЕЯ","Пусан","17/11 13:00","Группа активистов «Голос Юга»","https://www.instagram.com/voiceofsouth35","Антивоенный митинг","https://www.instagram.com/p/DCOMHXeTZPa/",""
"ЯПОНИЯ","Токио","17/11 14:00","Россияне в Японии против войны (группа активистов)","https://t.me/yasoprotivlenie","Митинг","https://t.me/yasoprotivlenie/202",""
